id,name,genre,type,episodes,avg_rating,members
0,Death Note,"Mystery, Police, Psychological, Supernatural, Thriller",TV,37,8.71,1013917
1,Shingeki no Kyojin,"Action, Drama, Fantasy, Shounen, Super Power",TV,25,8.54,896229
2,Sword Art Online,"Action, Adventure, Fantasy, Game, Romance",TV,25,7.83,893100
3,Fullmetal Alchemist: Brotherhood,"Action, Adventure, Drama, Fantasy, Magic, Military, Shounen",TV,64,9.26,793665
4,Angel Beats!,"Action, Comedy, Drama, School, Supernatural",TV,13,8.39,717796
5,Code Geass: Hangyaku no Lelouch,"Action, Mecha, Military, School, Sci-Fi, Super Power",TV,25,8.83,715151
6,Naruto,"Action, Comedy, Martial Arts, Shounen, Super Power",TV,220,7.81,683297
7,SteinsGate,"Sci-Fi, Thriller",TV,24,9.17,673572
8,Mirai Nikki (TV),"Action, Mystery, Psychological, Shounen, Supernatural, Thriller",TV,26,8.07,657190
9,Toradora!,"Comedy, Romance, School, Slice of Life",TV,25,8.45,633817
10,Bleach,"Action, Comedy, Shounen, Super Power, Supernatural",TV,366,7.95,624055
11,Elfen Lied,"Action, Drama, Horror, Psychological, Romance, Seinen, Supernatural",TV,13,7.85,623511
12,Tokyo Ghoul,"Action, Drama, Horror, Mystery, Psychological, Seinen, Supernatural",TV,12,8.07,618056
13,No Game No Life,"Adventure, Comedy, Ecchi, Fantasy, Game, Supernatural",TV,12,8.47,602291
14,Fullmetal Alchemist,"Action, Adventure, Comedy, Drama, Fantasy, Magic, Military, Shounen",TV,51,8.33,600384
15,Fairy Tail,"Action, Adventure, Comedy, Fantasy, Magic, Shounen",TV,175,8.22,584590
16,Ao no Exorcist,"Action, Demons, Fantasy, Shounen, Supernatural",TV,25,7.92,583823
17,Soul Eater,"Action, Adventure, Comedy, Fantasy, Shounen, Supernatural",TV,51,8.08,580184
18,Code Geass: Hangyaku no Lelouch R2,"Action, Drama, Mecha, Military, Sci-Fi, Super Power",TV,25,8.98,572888
19,Clannad,"Comedy, Drama, Romance, School, Slice of Life, Supernatural",TV,23,8.3,566690
20,Tengen Toppa Gurren Lagann,"Action, Adventure, Comedy, Mecha, Sci-Fi",TV,27,8.78,562962
21,Durarara!!,"Action, Mystery, Supernatural",TV,24,8.38,556431
22,One Punch Man,"Action, Comedy, Parody, Sci-Fi, Seinen, Super Power, Supernatural",TV,12,8.82,552458
23,Sword Art Online II,"Action, Adventure, Fantasy, Game, Romance",TV,24,7.35,537892
24,Highschool of the Dead,"Action, Ecchi, Horror, Supernatural",TV,12,7.46,535892
25,Another,"Horror, Mystery, School, Supernatural, Thriller",TV,12,7.88,534657
26,Naruto: Shippuuden,"Action, Comedy, Martial Arts, Shounen, Super Power",TV,Unknown,7.94,533578
27,Noragami,"Action, Adventure, Shounen, Supernatural",TV,12,8.17,515378
28,Psycho-Pass,"Action, Police, Psychological, Sci-Fi",TV,22,8.5,509109
29,Kill la Kill,"Action, Comedy, School, Super Power",TV,24,8.23,508118
30,One Piece,"Action, Adventure, Comedy, Drama, Fantasy, Shounen, Super Power",TV,Unknown,8.58,504862
31,Akame ga Kill!,"Action, Adventure, Fantasy",TV,24,7.84,492133
32,Cowboy Bebop,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",TV,26,8.82,486824
33,Bakemonogatari,"Mystery, Romance, Supernatural, Vampire",TV,15,8.39,482268
34,Sen to Chihiro no Kamikakushi,"Adventure, Drama, Supernatural",Movie,1,8.93,466254
35,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai,"Drama, Slice of Life, Supernatural",TV,11,8.62,463835
